,Household total,0.2,0.4,0.6,0.8,1.0
2022-04-07 06:00:00,118.313795485239,4.7855444,7.513534600000001,13.131354,13.069701000000002,9.625034
2022-04-07 06:15:00,118.008564970423,3.1749508,6.426963200000001,7.528950999999999,6.912451000000001,6.010828
2022-04-07 06:30:00,117.847031455174,3.6450284,5.355803600000001,6.419255999999999,6.342196999999999,5.440571000000002
2022-04-07 06:45:00,122.686086533284,3.6296163,3.9686884,7.8449033,5.7642299999999995,5.301857999999999
2022-04-07 07:00:00,124.598194510054,1.1790472,1.1790473,1.1790473000000001,2.5353372000000003,1.5181189999999996
2022-04-07 07:15:00,132.214889142751,1.5643567,1.5643567,1.5643565999999995,4.985906000000001,2.4197439999999997
2022-04-07 07:30:00,153.523161178346,2.3580945,2.3580945,4.091987,0.6242020000000004,2.3580939999999995
2022-04-07 07:45:00,172.078831772914,2.697167,2.697167,2.6971669999999994,2.6971670000000003,2.697166000000001
2022-04-07 08:00:00,172.742818405343,1.2329906,2.6663419,1.9496665000000002,1.9496659999999997,1.9496660000000006
2022-04-07 08:15:00,173.612034521611,2.596986,6.04936,4.323173000000001,3.7066779999999984,4.169048
2022-04-07 08:30:00,168.446479093084,4.69307,7.729310000000001,6.2111920000000005,6.704383,6.334488
2022-04-07 08:45:00,163.352437206299,5.7257,5.864412,5.795056000000001,9.494025999999998,6.719796000000002
2022-04-07 09:00:00,153.78966622898201,3.352193,3.352193,3.352194,3.3521920000000005,3.352192999999998
2022-04-07 09:15:00,154.575812751095,4.5697713,5.8027627,5.186267000000001,5.186266999999999,5.186266
2022-04-07 09:30:00,154.379192381056,4.04575,3.0901829999999997,3.567966,6.157246000000001,4.215285999999999
2022-04-07 09:45:00,150.798155965248,4.2229924,5.1785606,4.238405,4.546652999999999,4.238403000000002
2022-04-07 10:00:00,73.7971588860822,12.838513,12.838516999999998,15.566508000000002,13.131352,13.901964999999997
2022-04-07 10:15:00,76.5926349563499,11.281863,11.497637,18.18661,13.038876000000002,17.354343999999998
2022-04-07 10:30:00,76.1338261797572,12.137251,12.846218,14.549287999999997,12.561093000000007,9.517145999999997
2022-04-07 10:45:00,74.4233629436403,8.931476,12.013953,8.761938,9.285962999999999,12.329897000000003
2022-04-07 11:00:00,137.614511866682,21.500273,22.532902999999997,21.346154,20.56011500000001,23.257278999999997
2022-04-07 11:15:00,144.495052464878,20.382874,25.94675,25.199245999999995,22.609970000000004,27.156616
2022-04-07 11:30:00,148.621735529396,21.638985,26.185641999999998,23.519298,22.548305,24.051015000000007
2022-04-07 11:45:00,148.797169803344,21.492569,22.972156000000002,25.260898999999995,22.008886000000004,26.47847
2022-04-07 12:00:00,67.4869576524036,32.751312,31.872808000000006,33.09809999999999,31.957580000000007,30.108069999999998
2022-04-07 12:15:00,64.6086632065106,33.20598,33.622110000000006,31.91133599999999,31.680164000000005,34.37729999999999
2022-04-07 12:30:00,62.8879000106346,27.618988,28.667034,27.172027999999997,27.20286,25.931309999999996
2022-04-07 12:45:00,61.0423649445043,29.006104,29.838378,25.653908,28.32025,27.819360000000003
2022-04-07 13:00:00,83.1084573313607,38.862328,37.490612000000006,38.22273,41.82919000000001,48.15598
2022-04-07 13:15:00,93.1838277241495,37.521442,38.554078,33.830200000000005,38.60801000000001,28.767209999999977
2022-04-07 13:30:00,89.7039486367084,36.781654,39.447991,38.045485,38.52324,38.31519
2022-04-07 13:45:00,79.3512329860121,37.035954,31.857406000000005,38.792964999999995,34.261714999999995,33.52193
2022-04-07 14:00:00,136.110971368318,71.50575,67.11323999999999,66.25784000000002,63.36031999999997,63.01352000000003
2022-04-07 14:15:00,134.954193773893,72.39196,65.42558000000001,67.15176,64.25417999999999,65.49491999999998
2022-04-07 14:30:00,130.337132137423,75.97535,67.12864,64.80133999999998,69.20931999999999,68.00712000000004
2022-04-07 14:45:00,131.162803708368,80.97667,70.21883000000001,69.35574,68.33850000000001,69.37111999999996
2022-04-07 15:00:00,166.676602632734,67.78365,66.59692000000001,62.33538999999999,67.45231000000001,68.12272999999999
2022-04-07 15:15:00,171.651231977919,69.455894,62.78234599999999,65.26374000000001,65.27918,65.61822000000001
2022-04-07 15:30:00,164.162323837845,69.05519,66.11140999999999,61.98860000000002,64.20802,69.96450999999996
2022-04-07 15:45:00,168.455062351164,64.70889,62.304576,61.51851400000001,63.92284999999998,54.44422
2022-04-07 16:00:00,183.379344607334,51.86267,49.92070999999999,54.2439,49.758880000000005,46.74573000000001
2022-04-07 16:15:00,185.388087978918,58.189453,60.871207,54.35179000000001,56.13962999999998,55.34582
2022-04-07 16:30:00,181.60314585568,62.24291,59.191250000000004,57.06434,59.40701999999999,61.402950000000004
2022-04-07 16:45:00,196.527201370257,64.878426,59.931044,60.902029999999996,61.31819999999999,58.63638000000003
2022-04-07 17:00:00,209.434752345269,28.805746,32.227294,35.25583,38.168769999999995,36.2345
2022-04-07 17:15:00,211.813038175533,33.791653,37.367317,39.55588,40.14155000000001,34.24629999999999
2022-04-07 17:30:00,228.626508259604,35.394543,41.75985300000001,42.969724,41.767589999999984,37.621610000000004
2022-04-07 17:45:00,229.824401953555,37.922173,42.730836999999994,40.372730000000004,43.97924999999999,37.937550000000016
2022-04-07 18:00:00,263.002266909696,24.36698,27.49569,25.122189999999996,29.483890000000002,25.615370000000013
2022-04-07 18:15:00,292.200056902342,28.366499,39.57130099999999,37.25174,40.54999000000001,40.13383999999999
2022-04-07 18:30:00,310.016893798082,33.32929,43.80970000000001,39.65606,46.267979999999994,44.58031
